Region,Year,p elephant,p tigers.,p leopards.,p bears.,p Wolves.,p hyenas.,p wild Beasts.,p snakes.,c elephant,c tigers.,c leopards.,c bears.,c Wolves.,c hyenas.,c wild Beasts.,c snakes.
Bengal,1875,8,363,106,27,160,8,1435,8807,0,1958,"2,428",93,876,886,1209,697
Bengal,1876,9,439,67,52,185,27,662,8548,0,2516,1694,28,900,773,1421,4600
Bengal,1877,11,378,69,26,149,9,614,8879,4,3631,2320,29,1280,693,1403,969
Bengal,1878,5,347,149,37,152,21,663,9944,2,3483,2304,24,1316,2263,1516,537
Bengal,1879,8,271,105,48,83,10,739,9515,2,3532,2812,27,1608,1164,2147,754
Bengal,1880,7,359,151,47,53,4,674,10064,0,4222,4427,38,1777,1282,2821,1248
Bengal,1881,20,378,137,40,41,4,747,9268,87,3791,2996,85,428,258,778,154
Bengal,1882,21,355,111,47,62,10,661,9191,5,4071,3370,45,487,134,220,228
Bengal,1883,22,370,101,45,19,8,737,9153,2,4311,5535,10,775,395,419,263
Bengal,1884,32,419,140,67,73,24,792,9614,10,5033,5799,13,531,286,417,308
Bengal,1885,22,510,140,57,57,13,903,10112,11,4751,5156,11,851,773,359,311
Bengal,1886,19,589,75,48,75,17,772,10388,2,4558,5288,28,682,417,407,239
Bengal,1887,15,672,83,45,64,12,672,9131,4,7011,7065,14,827,2024,285,509
Bengal,1888,26,522,81,38,48,12,608,8946,15,8449,11279,111,1038,2372,352,496
Bengal,1889,34,530,113,53,85,18,727,10681,4,8780,10308,39,791,2141,821,480
Bengal,1890,32,350,71,38,63,11,756,10534,7,8042,8972,258,1015,2407,906,538
Bengal,1891,16,492,179,29,73,30,765,10031,36,7204,7253,33,1524,4043,1564,409
Bengal,1892,39,454,118,63,74,37,879,9120,20,7560,9026,54,4664,2878,3764,479
Bengal,1893,36,422,135,53,76,18,860,10797,26,8716,10359,152,4140,4514,3303,725
Bengal,1894,30,373,180,47,105,19,939,9856,6,9051,11426,63,3839,4228,6906,462
Assam,1875,26,152,5,21,0,0,47,169,1,968,167,0,45,2,61,34
Assam,1876,19,177,7,23,0,0,47,210,0,1940,428,0,150,0,16,7
Assam,1877,21,135,2,11,0,0,60,188,3,2586,396,0,0,0,9,9
Assam,1878,15,138,0,15,1,0,64,255,1,1663,228,1,82,0,67,11
Assam,1879,17,107,2,27,0,0,47,221,0,1812,625,2,42,2,8,2
Assam,1880,26,151,0,16,0,0,41,211,0,1971,1143,0,115,0,40,57
Assam,1881,22,131,4,13,3,0,38,189,0,2274,408,0,8,4,108,16
Assam,1882,28,129,5,22,0,0,30,167,5,3033,730,11,116,38,39,30
Assam,1883,26,159,2,20,0,0,52,210,0,2749,668,15,93,63,230,20
Assam,1884,15,138,2,13,2,0,42,175,0,5168,1180,5,8,61,209,39
Assam,1885,25,97,11,13,0,0,42,178,0,11038,1168,0,1053,579,293,56
Assam,1886,15,81,4,19,0,0,48,254,0,11085,2671,47,0,0,260,208
Assam,1887,20,55,7,30,0,0,27,198,21,13038,2498,3,0,0,563,190
Assam,1888,20,89,0,19,0,0,36,213,16,12764,2062,13,23,0,415,185
Assam,1889,17,112,2,9,0,0,39,230,14,11884,2465,11,2,0,298,71
Assam,1890,20,119,5,17,0,0,40,214,5,11427,3097,22,0,29,327,257
Assam,1891,15,124,0,17,0,0,44,209,81,11174,2743,66,0,21,519,50
Assam,1892,26,107,2,15,0,0,59,208,81,12084,3809,16,0,9,402,96
Assam,1893,21,72,7,15,0,0,39,206,20,12840,4102,25,24,0,435,137
Assam,1894,24,69,0,23,0,0,29,160,50,12620,2338,32,13,12,4529,60
N. W. Provinces and Oudh,1875,3,40,14,12,721,56,252,2835,3,719,3693,201,1022,431,356,804
N. W. Provinces and Oudh,1876,10,20,12,17,673,18,249,3693,1,1119,5874,225,1814,627,1930,532
